Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author
/junit-4.12-sources.jar-extract/org/junit/AssumptionViolatedException.java,file,AssumptionViolatedException.java,AssumptionViolatedException,.java,1442,2014-12-04,0bea4b916425a4f5c72f191e0e1df21d69ccca89,993df42fdf219e326e89e13f61ec4b45,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/Before.java,file,Before.java,Before,.java,1118,2014-12-04,82a9cbbcca0bbd7adcfe2a6a785d3cf077c10149,359ac531d779f4e10f0bd00d5d7c8794,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/BeforeClass.java,file,BeforeClass.java,BeforeClass,.java,1123,2014-12-04,5f874bcc240c4cdcc3c964a70830f9a28baf4f7d,c2333adfd3f5de65153ceab8d4314e5b,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/ClassRule.java,file,ClassRule.java,ClassRule,.java,3144,2014-12-04,459b615e8cbb13299eef458a51f61a081c77d38c,577ce51bd1658a9eb659a474d9343d29,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/ComparisonFailure.java,file,ComparisonFailure.java,ComparisonFailure,.java,6079,2014-12-04,f32ce6c2c2ae71ef40524c6fb3cf1422bd5dbcbf,79b4f796793d25a6d21e9cea20dcf284,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/FixMethodOrder.java,file,FixMethodOrder.java,FixMethodOrder,.java,1442,2014-12-04,cc2e462df9fa0ba35a26686194d376b5da90362a,1a14053e7b0722be0f6c0bfd32167c0a,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/Ignore.java,file,Ignore.java,Ignore,.java,1454,2014-12-04,bd198b73f7fea6c5f0c1a9624c3cd14e813501bb,9a3caf7a1f50057c8bc18014c19eea84,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/package-info.java,file,package-info.java,package-info,.java,143,2014-12-04,75c48efbeb9ac0126fdff4e1d54f9eec08527f94,4f387215ddb696f9b2ab9798eb1010a4,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/Rule.java,file,Rule.java,Rule,.java,2604,2014-12-04,9218c8c86f1ff11094a746e82029160ebbd505b6,36adf499cdae0c41724290d16f7be0df,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/Test.java,file,Test.java,Test,.java,4246,2014-12-04,c0d378f33a2ac42ea1ec53e813dcc7aad5f42a21,b218d82e3384e22fbfc468d9cb3e3903,text/html,"HTML document, ASCII text",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/,directory,experimental,experimental,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,31,7,93553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
