Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,start_line,end_line,author,copyright_holder
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function20.scala,file,Function20.scala,Function20,.scala,2790,2018-08-28,0e30c6f1e3a528750c92b2b67dc73981f076bde5,1938237e6d47ffdb9002a8b10ba383ff,text/plain,"ASCII text, with very long lines",Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function20.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function21.scala,file,Function21.scala,Function21,.scala,2868,2018-08-28,9eb16cd27f9ca7bc8276a926016283008de1cc47,3886fee8084f6932882774f2b6942f07,text/plain,"ASCII text, with very long lines",Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function21.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function22.scala,file,Function22.scala,Function22,.scala,2946,2018-08-28,037746bfccd289cd5ca2083b4706a01a66edca95,b72f260495af247a100e498ce22313b9,text/plain,"ASCII text, with very long lines",Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function22.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function3.scala,file,Function3.scala,Function3,.scala,1535,2018-08-28,fa3149a24ae00c0e0d2c1fa5e17a641f7b33968c,4d08b95474ad20b432da70e983eca050,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function3.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function4.scala,file,Function4.scala,Function4,.scala,1602,2018-08-28,bda2fdd4b91934e544ce7a1505f66a7f3a015d51,4aa017f94bca2dc07a5ef6c50937d7c9,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function4.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
